Country,Year,Score,Rank
Norway,2019,7.82,1
Finland,2019,7.9,2
Denmark,2019,9.87,5
Sweden,2019,8.31,3
Netherlands,2019,8.63,4
Jamaica,2019,11.13,8
Costa Rica,2019,12.24,10
Switzerland,2019,10.52,6
New Zealand,2019,10.75,7
Portugal,2019,12.63,12
Germany ,2019,14.6,13
Belgium,2019,12.07,9
Ireland,2019,15,15
Estonia,2019,12.27,11
Iceland,2019,14.71,14
Norway,2020,7.84,1
Finland,2020,7.93,2
Denmark,2020,8.13,3
Sweden,2020,9.25,4
Netherlands,2020,9.96,5
Jamaica,2020,10.51,6
Costa Rica,2020,10.53,7
Switzerland,2020,10.62,8
New Zealand,2020,10.69,9
Portugal,2020,11.83,10
Germany ,2020,12.16,11
Belgium,2020,12.57,12
Ireland,2020,12.6,13
Estonia,2020,12.61,14
Iceland,2020,15.12,15
